HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required.
PSYC 498R      : Permission Required Prior to Enrollment) Psychology majors only. Credit is variable, 1.00 - 12.00 (For 3.00 hrs/week = 1.00 credit). Students must have consent of faculty member (inside or outside of the department) and agreement on a research paper, expectations and responsibilities. Students are required to complete a PSYC 498R/499R Contract with a faculty member. Contract is available through Lorenza Houser (lhouser@emory.edu). Please e-mail Ms. Houser to obtain a copy of the contract to complete and sign along with your faculty advisor. Completed and signed contract must be returned to Ms. Houser, lhouser@emory.edu, on or before the end of a/d/s for enrollment. Permission of the department required.
CHEM 203Z      : CHEM 202Z or equivalent transfer credit as prerequisite. This course is only intended for students who completed CHEM 202Z/202ZL in the fall. Please do not select this course if you do not meet these criteria.
FREN 488W      : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. FREN 488. Hauntings: Literature, Psychoanalysis, Film Prof. Claire Nouvet / Mondays and Wednesdays, 1:00-2:15PM. Content: With the study of hysteria, Freud discovered the process of repression and elaborated the concept of the unconscious. The unconscious, however, does not rest quietly. It returns to haunt the present through various disruptions that conscious thought does not know how to explain to itself: slips of the tongue, dreams, phobias, anxieties, delusions. If we learn from psychoanalysis that a past that has been repressed can return to disrupt the present, literature, for its part, has its own way of staging these uncanny returns. What comes back under the figures of the ghosts, vampires, and witches that haunt the literary stage? How do traumatic histories haunt the next generations? And what happens to those who incarnate past histories that the present prefers to forget? These are some of the questions that we will address at the juncture of literature, psychoanalysis and film. Special attention will be given to the way psychoanalysis addresses the issue of trauma not only at the individual level but also at the collective level: transgenerational transmission of historical traumas. Texts may include: Freud: Introductory Lectures [selections] Studies in Hysteria [selections] Delusion and Dream in Wilhelm Jensen's Gradiva Balzac: Adieu Jules Barbey d'Aurevilly: Diaboliques Duras: Hiroshima, mon amour [film] Gauthier: Arria Marcella Michelet: La Sorcière Davoine and Gaudillard: History Beyond Trauma [selections]
CHEM 203ZL     : CHEM 202ZL as prerequisite and CHEM 203Z as co-requisite or equivalent transfer credit. This course is only intended for students who are taking Chem 203z concurrently. Please do not enroll if you are not.
BIOL 368L      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisites. Complete Topic: Foundational Techniques in Molecular Biology & Biotechnology Laboratory. In this LAB course you will learn techniques with practical applications in biotechnology related to gene cloning, protein expression in prokaryotic and eukaryotic systems, and recombinant protein purification. You will also express your engineered gene in mammalian cells and learn cell culture and fluorescent imaging techniques, gaining hands on experience with the same approaches used in drug discovery and vaccine development. Throughout the semester, you will construct and then carry out your own research question related to the effects of small molecules on calcium signaling. This course will fulfill elective and upper-level lab credit for the Biology major. Prerequisites: Biology 142 + 142L.
ECON 385       : This course requires ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit as a prerequisite. Topic: Economic Strategy & Negotiation
HIST 210       : When we think about "the law," we tend to think about legal doctrine: written and somewhat rigid sets of procedures through which legal judgments are made. But when we approach the law historically, we see it as a process that changed over time under pressure from a range of forces: political, economic, social, and cultural; national, regional, and global; and driven by elites and people on the ground. The course is structured into three distinct units. Unit 1 addresses foundational inquiries pertaining to legal history. The objective of this unit is to establish a conceptual framework for analyzing law and legal orders in global perspective. Unit 2 investigates the interactions of law, society, and economy in a particular place and time, with emphasis on specific themes. Students will work with secondary literature, case studies, and primary sources. The content of Unit 2 varies, according to the research specialization and interests of the faculty member teaching the course. Unit 3 requires students to apply what they learned in Units 1 and 2 in a hands-on group project. In this iteration of HIST 210, taught by Professor Chris Suh, Unit 2 will focus on the topics of citizenship, civil rights, and precarity in the United States from the late 19th century to the present. Case studies will focus on Asian Americans' experiences with the law.
BIOL 370       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. This course will provide an Introduction to the concepts of microbial physiology, biochemistry, genetics, and evolution. This course will fulfill the Column B requirement (or elective credit) for the Biology major. Students must also register for and attend a BIOL 370 Discussion Section. There is an optional 2-credit laboratory (BIOL 370L) associated with this course. Prerequisites: Biology 142 + 142L.
CS 171         : This course requires CS 170 OR CS_OX 170 or equivalent transfer credit as a prerequisite.
CS 211         : (MATH 111 or MATH_OX 111 or QTM 100 or QTM_OX 100) and (CS 110 or CS 170 or CS_OX 170) or equivalent transfer credit as prerequisites.
PHYS 212       : (PHYS 151 or PHYS_OX 151) or [(PHYS 141 or PHYS_OX 141) and (MATH 112 or MATH 112Z or MATH_OX 112 or MATH_OX 112Z0] or [(PHYS 141 or PHYS_OX 141) and MATH 116)] or equivalent transfer credit as prerequisite. (Same as BIOL 212 1)
BIOL 370L      : [(BIOL 142 and BIOL 142L) or BIOL_OX142 or BIOL 152] and BIOL 370 or equivalent transfer credit as a prerequisite. This is the 2-credit hour OPTIONAL laboratory to accompany Biology 370 (Introduction to Microbiology) and will introduce students to some of the basic techniques used in the study of physiology, biochemistry, and genetics of microorganisms. There is no textbook for this course. This course will fulfill two (2) hours of elective credit AND the upper-level lab requirement for the Biology major. Prerequisites: Biology 142 + 142L; pre- or co-requisite: Biology 370. (BIOL 370LW will no longer be offered.)
ECON 410W      : (ECON 201 or ECON_OX 201) and (ECON 212 or ECON_OX 212) or equivalent transfer credit as a prerequisite.
CS 224         : (CS 170 or CS_OX 170) and (MATH 111 or MATH_OX 111) or equivalent transfer credit as prerequisites.
PHYS 222       : (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) and (MATH 112 or MATH_OX 112 or MATH 112Z or MATH 116) and (CHEM 205 or CHEM_OX 205 or CHEM 331 or PHYS 253 or PHYS_OX 253) or equivalent transfer credit as prerequisite.
BIOL 371       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as ENVS 371 1) This 2-credit hour lecture course will explore the diverse biomes of the tropics. The focus will be on tropical forests and grasslands, with an emphasis on ecological processes, biodiversity, human impact on the tropics, indigenous peoples, and ethnobotany. Prerequisites: Biology 142 and Biology 142L (for Biology 371). This course is taught by Dr. Larry Wilson (adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective credit for the biology major. There is also an optional field course/lab associated with this course that travels to Peru during Spring Break (see BIOL 372/ENVS 372).]
CS 253         : CS 171 or 171Z or CS_OX 171 or equivalent transfer credit as a prerequisite.
CS 255         : This course requires CS 171 or CS 171Z or CS_OX 171 or equivalent transfer credit as a prerequisite.
BIOL 372       : This course requires ENVS 371 or BIOL 371 as a prerequisite OR permission of instructor. (Same as ENVS 372 1) This 2-credit hour field course is part of the Office of International and Summer Programs (OISP) and will be taught during Spring Break week (March 6-15, 2026) in the Amazon River lowland rainforests of southern Peru (Tambopata Research Station), famous for its huge flocks of colorful Macaws. This field course will give the student a real hands-on rainforest experience, complete with bromeliads, toucans, sloths, and the sounds of the night. Graduating Seniors and students who have previously completed BIOL 371/ENVS 371 have priority for this course. Cost for the trip is approximately $3200 (depending on airfare prices). Permission of instructor is required. This course is taught by Dr. Lawrence Wilson (lwilso3@emory.edu; adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective and upper-level laboratory credit for the biology major. Biology majors may submit an application to Barbara Shannon at barbara.shannon@emory.edu (and Leah Thomas in ENVS at leah.thomas@emory.edu for ENVS 372). Selected students will be notified and will have additional requirements by OISP. See the OISP website for additional information. Financial Aid scholarships from the Biology Department are available to eligible Biology majors who submit an application for the aid. Permission of the department required.
ECON 412W      : (ECON 201 or ECON_OX 201) and (ECON 212 or ECON_OX 212) or equivalent transfer credit as prerequisites. (Same as AFS 489W 1)
PHYS 311       : This course requires PHYS 253 or equivalent transfer credit as a prerequisite.
CS 312         : CS 211 or CS 323 or CS 325 or CS 334 or CS 470 or equivalent transfer credit as prerequisite.
BIOL 385       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. In this course, students examine the physical and chemical aspects of the marine environment, with a heavy emphasis on ecology, biodiversity, evolution, conservation, and utilization of marine resources. Furthermore, students learn about human interaction with the oceans and the current threats faced by the distinct marine ecosystems. Prerequisites: Biology 142 + 142L.
ECON 425       : (MATH 211 or MATH_OX 211 or MATH 276) and (ECON 201 or ECON_OX 201) or equivalent transfer credit as prerequisite. (Same as MATH 425 1) (Students, please copy and paste this link in your browser to complete the enrollment request form: https://forms.office.com/r/wGAcyuzHsG ) (Permission codes will be sent out during Add/Drop/Swap. For enrollment in ECON 425, please contact Erica Bowersox (erica.blake.bowersox@emory.edu). For enrollment in Math 425, please contact Taylr Tuggle (tatuggl@emory.edu) in Math.) Permission of the department required.
PHYS 365       : PHYS 220 or equivalent transfer credit as prerequisite.
ECON 433       : (ECON 112 or ECON_OX 112) and (ECON 201 or ECON_OX 201) and (ECON 220 or ECON_OX 220 or MATH 361) or equivalent transfer credit as prerequisite.
CS 325         : (CS 224 or CS_OX 224) and CS 253 or equivalent transfer credit as prerequisite.
ECON 436       : (ECON 201 or ECON_OX 201) and ECON 215 or equivalent transfer credit as prerequisites.
PHYS 422       : PHYS 253 or PHYS_OX 253 or (CHEM 205 and CHEM 205L) or (CHEM 331 and CHEM 331L) or (CHEM 331 and CHEM 331LW) or equivalent transfer credit as prerequisite.
CS 326         : (CS 170 or CS_OX 170) and (CS 171 or CS_OX 171) and (CS 224 or CS_OX 224) and CS 253, or equivalent transfer credit as prerequisite.
BIOL 450       : This course requires BIOL 360 or NBB 301 or IBS 514 or equivalent transfer credit as a prerequisite. The goal of this course is to provide students with a broad outline of ideas and current research areas in computational neuroscience, ranging from ion channels up to organismal behavior. Class meetings will consist of a combination of lectures and in-class computational exercises. Prerequisites: Biology 142 + 142L. Although the class will be largely self-contained, a working knowledge of introductory calculus, statistics, linear algebra, and some exposure to differential equations will be helpful (although a mathematical review will be provided). Knowing some neuroscience may also be helpful, but it is not required. Although most of the course will be taught in Matlab, only a working knowledge of basic programming control structures (e.g., for/while loops & if/then structures, etc.) is necessary, as we will devote time to coding tutorials at the beginning of the semester. If you have some coding experience but have learned R or C or Java or python, you should be fine. (This course is also taught as IBS 534.)
ECON 442       : This course requires ECON 201 OR ECON_OX201 or equivalent transfer credit as a prerequisite.
CS 329         : This course requires CS 171 or CS 171Z or CS_OX 171 or equivalent transfer credit as a prerequisite. (Same as LING 329 1 and DATASCI 329 1)
BIOL 463       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Students must also register for the Biology 463 Discussion Section. This course will look at infectious disease spread and evolution from a population perspective at various biological scales. The following scales will be considered: (1) the population biology of infectious disease transmission, its control by vaccination, and evolution of disease at the population level; (2) impact of pathogen interactions and multiple hosts on infectious disease circulation; (3) population dynamics and pathogen evolution at the transmission event; (4) within-host population dynamics of infectious diseases; (5) replication dynamics of pathogens within cells. The class will focus on the design, simulation, and application of quantitative models to understand these infectious disease population dynamics and evolutionary dynamics. Prerequisites: Biology 142 + 142L.
AAS 490R       : (Permission Required Prior to Enrollment) This course is required for all graduating seniors AAS majors, and is open to graduating seniors AAS minors. Permission of the department required.
ECON 451       : ECON 220 or ECON_OX 220 or MATH 361 or equivalent transfer credit as prerequisite.
PHYS 437       : (PHYS 212 or PHYS_OX 212) and (PHYS 220 or PHYS_OX 220) and PHYS 421, or equivalent transfer credit as prerequisites.
THEA 321       : THEA 223 or THEA 224 or equivalent transfer credit as prerequisite. New Prerequisite: THEA 223 & THEA 224 or by Instructor Permission.
PSYC 110       : ("This is one-half of a two-semester introduction to the field of contemporary psychology. The course has to do with the organization and operation of the nervous system as it pertains to behavior and its cognitive underpinnings. Topics receiving special attention include the development of sexual identity, sensation and perception, learning and memory, love, fear, and other emotions. The course fulfills one-half of the introductory course requirement for psychology majors. All students enrolled in the course are required to participate in psychology department human subject research studies.
ENGCW 190      : (Freshmen Seminar - Limited to First Year Students Only) (Complete Topic: Poetry & the Practice of Attention) In this first-year seminar, we will focus on what writing and reading poetry can teach us about attention. We will progress through several themes, including memory, presence, description, distraction, and control/freedom. Students will have weekly notebook writing assignments/exercises derived from assigned readings and will also compose 5 complete poems. Feedback on those compositions from peers and the professor will be provided in workshop discussions, and students will use these comments to revise poems for an end-of-semester portfolio. Attendance at Creative Writing events is required, as is attendance at all class meetings. Absolutely no use of AI is permitted for any element of the course.
PSYC 111       : Students completing PSYC_OX 100 or equivalent cannot enroll in PSYC 111. For concerns, please contact the Psychology department. OPUS waitlist available at the beginning of add/drop/swap. (There will be small group discussions. This second semester of introductory psychology will cover in broad brushstrokes the major areas of research design, social psychology, social and emotional development, personality measurement and theory, psychopathology, and therapeutic interventions. Emphasis will be on the empirical foundations of psychological knowledge, and on fostering students' scientific thinking about behavior. Particulars: There will be one primary textbook and supplemental readings. Participation in research projects or equivalent is required.)
THEA 363       : (Same as SPAN 330 1) The objective of this course is the development of linguistic and cultural understanding in the context of theatrical performance. The course is both critical and experiential. Through close readings of texts, script analysis, memorization, development of character, writing assignments, and theatrical performance, students will develop a deeper understanding of Spanish language and Hispanic cultures through the perspectives of both disciplines, Hispanism and Theater Studies. This critical/interpretive dimension will be enriched at all stages of the course by the experiential dimension: the physical and vocal embodiment/performance of the target language and texts. Course taught in Spanish. Texts: readings will be made available on Canvas. Particulars: Class exercises will involve physical and vocal warm-ups and improvisation; assignments, including writing essays and reading plays, will include individual activities as well as activities requiring outside class preparation with partners. Prerequisite: SPAN 212 Interested students must contact Prof. Elva Gonzalez at egonza3@emory.edu or Prof. Mary Lynn Owen at mowen3@emory.edu.
ANT 495BW      : Departmental invitation to Honors Program necessary before registration. Permission of the department required.
NBB 301        : [(BIOL 142 and BIOL 142L) or BIOL_OX 142] and (CHEM 142 or CHEM_OX 142 or CHEM 202 or CHEM_OX 202 or CHEM 202Z) or equivalent transfer credit as prerequisite. (Same as BIOL 360 1)
DATASCI 499R   : Research Fellowships are by application and departmental permission. Students are responsible for securing their own research supervisor/lab position and credit enrollment is by application only. Please see our webpage for more details https://quantitative.emory.edu/undergraduate/experiential-learning/undergraduate-research.html Permission of the department required.
ENGCW 271W     : (Permission Required Prior to Enrollment) Application required. If accepted, you YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Permission of the department required.
NBB 301L       : [(BIOL 142 and BIOl 142L) or BIOL_OX142] and (BIOL 360 or NBB 301) or equivalent transfer credit as a prerequisite. (Same as BIOL 360L 1) (Topic: Neural Data Simulation & Analysis Lab). Students who were on the BIOL 360L/NBB 301 wait list in Fall 2025 AND Spring 2026 graduating senior Biology majors who need to fulfill their upper-level lab requirement have priority for this class. Contact Barbara Shannon at barbara.shannon@emory.edu for permission. Through this course, you will learn basic computational and programming skills and apply them to the simulation and analysis of neural data. Course instructors will provide introductory lessons on basic coding in Python, which will be used throughout the course through collaborative, group-based lab tutorials. The focus of this course will be to use these in-lab tutorials to understand how neuroscience data is structured, analyzed, simulated, and interpreted. The course will be divided into 2 portions: (1) coding, running, and interpreting simulations of neural activity, and (2) understanding the analysis of neural data. The course consists of lectures, group lab tutorials, and individual homework assignments for each module. This course originates in the Biology Department, and it will count as an elective and upper-level laboratory credit for the Biology major. (This course does NOT COUNT as elective credit for the NBB major; the catalog description is incorrect.) Prerequisites: Biology 142/142L and Chemistry 202; pre- or co-requisite: Biology 360/NBB 301). Permission of the department required.
THEA 375R      : (Same as ENGCW 375R 1) (Permission Required Prior to Enrollment) (Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html) Please email nora.lewis@emory.edu if you have any questions. Permission of the department required.
ANT 498        : This course culminates the minor in Development Studies, with common readings and class meetings and a final presentation of completed projects to the Faculty Capstone Committee. The steering committee will approve service learning opportunities, internships, and research projects. Permission of the department required.
ENGCW 272W     : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. PLEASE NOTE: Students will need to purchase Blue Books and writing instruments to use in class. Devices will not be permitted. Making People: Empathy and Expertise This is an introductory course on the art of fiction writing. We will focus on elements of craft such as character development, narrative control, dialogue, scene development, setting, structure, openings and endings. We will engage with fiction writing as always about creating human beings with histories, bodies, and social realities; as always about creating a world anew for an audience; and as always a form of communication with an ongoing humanity -- be it dead writers, current beloveds, future anonymous readers or one's own self. Students will come to understand the fiction workshop as a place to face fears, biases and the limitations of the imagination all via practice and hard work. Students will come to see fiction as a place to communicate as writers and critics. Students come to see fiction writing and critical reading as a place to engage bravely and vulnerably with grief, joy and the full range of human emotions between. Permission of the department required.
ANT 499        : ANT 202 or ANTH_OX 202 or equivalent transfer credit as prerequisite. This Senior Seminar explores the craft, significance, and responsibility of anthropology in the contemporary world. It will include reflections on the field, practice, and ethics of anthropology as well as direct engagement with diverse approaches to doing, writing, and representing anthropological research. Course questions include: How do contemporary anthropologists develop projects that are responsive, collaborative, and ethically engaged? How do contemporary anthropologists produce and disseminate "stories that matter? "What is public-facing anthropology and how is it produced, disseminated, and evaluated? How do anthropologists work in a range of sectors, including: urban planning, community research, public health, medicine, design & architecture, museums, applied linguistics, information technology, cultural resource management, natural resource management, consumer research, education, journalism, creative writing, government, and diplomacy? Students will develop independent projects focused on sociocultural anthropology's relevance in the 21st century and will present their ongoing research in various formats during the semester, including: work-in-progress workshops, social media posts, a research poster, and a final paper. Permission of the department required.
NBB 318        : Any NBB or WGS course or equivalent transfer credit as prerequisite.
ENGCW 370RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Inventing Time in Short Fiction This course expands craft concepts introduced in introductory creative writing coursework with a special focus on the narrative possibilities of time. How might we maintain a short story's necessary "intensity of focus" within a timeframe that spans centuries? How might a short story that takes place over the course of an hour give every detail heightened significance? In addition to exploring the narrative pressures of different timeframes, we will look at stories that break linearity, gesturing toward the future and even using elements like time travel to negotiate the constraints of the short story form. Selections from contemporary short fiction authors like Venita Blackburn, Sean Vestal, Mariah Rigg, Jonathan Escoffery, Brenda Peynado, Steven Millhauser, Ted Chiang, and Sofia Samatar will be included in our studies. Permission of the department required.
PSYC 200W      : (PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111) and (PSYC 230 or QTM 100 or QTM_OX 100) or equivalent transfer credit as prerequisite.
ENGCW 371RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. FORMS In this intermediate course, you will find a community of poets serious about their craft, hoping to deepen their engagement with the art of poetry. Through the shared sense of trust and endeavor provided by the workshop community, we will closely read the work of published poets and that of our peers as we draft new poems ourselves. To structure our in-class discussions and the weekly creation of new work, we will look closely at prosody and the resurgence of traditional forms in the work of contemporary American poets. As we try out various forms ourselves, we will situate our own poetic experiments in a centuries-long conversation extending to our present moment. Permission of the department required.
NBB 361W       : BIOL 360/NBB301 or equivalent transfer credit as prerequisite. NBB 301 is a prerequisite Wednesday lab 1-4 room 226
ENGCW 373R     : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Our course will serve as a workshop into the form and structure of fiction writing for the advanced student. We will be working in a round-table workshop format. We will learn by doing. Topics covered will include: scene work, POV, plot vs. narrative, beginning near the end, characterization, dramatic action, etc. Copying Costs: Each author will be responsible for printing out a copy of the work discussed each week in class. All work must be double-spaced, legibly printed, page-numbered consecutively with the title and author's name on the first page. We will be doing some in-class writing. Bring the tools for this: pens, paper, etc. Permission of the department required.
ENGCW 374R     : (Permission Required Prior to Enrollment) Application required. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. This course is intended for students with a serious commitment to poetry, and a strong belief in their ability to learn among a community of people whose work will both overlap with and differ from their own. Students will strive for excellence and excitement in the regular composition and revision of new poems, as well as an ever-broadening sense of the possibilities of our art. In addition to posting poems for workshop, students will provide context for their creative work, sharing influential texts and ideas, in order to deepen the class's collective ability to understand where their poems are coming from, and where they might be headed. Readings will include full-length poetry collections and essays on craft. Each student will be responsible for guiding discussion of one book (with a partner), and attendance at all Creative Writing Reading Series events is required. Permission of the department required.
ENGCW 375R     : (Same as THEA 375R 1) (Permission Required Prior to Enrollment) (Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html) Please email nora.lewis@emory.edu if you have any questions. This is an intensive workshop in which you will conceptualize, generate, and workshop long one-act or full-length plays (minimum 60 pages). This is NOT a place to expand or revise an already-existing script. We are collectively starting at the beginning (a very good place to start). Adaptations are not allowed; riffs might be (let's talk about it). The assumption is that you already know how to write a play by gaining entry into this course. Our goal this semester is to push that knowledge further and expand the scope of your work. Permission of the department required.
ENGCW 376RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Nonfiction Magazine and Long-form Writing. No pre-requisite. This class is NOT open to first-year students. This workshop is focused on long-form, nonfiction magazine and feature writing -- reading it, reporting it, writing it, and doing so in ways and by means that separate the exceptional from the pedestrian. This is nonfiction. Be prepared to be a reporter, to meet people face-to-face, to ask questions, to see and hear things with your own eyes and ears. My goal is to get your work published. We'll have visiting experts on hand as we discuss where great ideas come from, how to be strategic in your reporting, the art of the interview, and crafting stories, then stories within stories. We're looking mostly at print, but we will see beyond the dead tree media at the growing opportunities for magazine-style writing and long-form narratives online. Ultimately, the goal of the course is for you to become a considerably wiser and more effective nonfiction storyteller, for which the basis is sound reporting. Students should budget to purchase the textbook and for photocopying. Permission of the department required.
ENGCW 378RW    : ENGCW 270/270W or ENGCW_OX 270 or ENGCW 271/271W or ENGCW_OX 271 or ENGCW 272/272W or FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. (Same as FILM 378RW 2) (Permission Required Prior to Enrollment) Application required. YOU MUST ATTEND THE SECOND CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. WRITING THE SHORT FILM. Instructor will be incoming Screenwriting Fellow, Carolyn Kras. This course introduces students to dramatic writing for short motion pictures. The topics covered include visual writing, plot, story structure, character, and dialogue. Emphasis is placed on telling a story in cinematic terms. In addition to completing several writing assignments, students are expected to develop, pitch, outline, and write a short screenplay. Permission of the department required.
ARAB 202       : ARAB_OX 201 or equivalent transfer credit as prerequisite.
NBB 380        : NBB 280 or equivalent transfer credit as prerequisite. Permission of the department required.
ENGCW 389      : (Same as FILM 385 2) (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. No pre-requisite. This class is NOT open to first-year students. If journalism has historically been considered a pure and ethically-driven form of nonfiction; if, pardon the cliché, it is the first rough draft of history; if its principle motivator in this nation's history has been the pursuit of truth, justice and the American way (you did know Superman/Clark Kent was a newspaper reporter, right?); and if it is the most zealous guardian of not just any amendment to the U.S. Constitution but the First Amendment, then why is the profession of journalism historically misrepresented as crude and corrupt when Hollywood tries to tell its story? Or is the profession's purity just an old former newspaperman's misguided fantasy that confuses vice and virtue in a vocation that consumed him and his conscience for more than 35 years? Newsrooms have long been filled with quiet creative geniuses and loudmouth miscreants, the brilliant and the boorish, the talented and the tawdry, and yet there are few if any professions as tethered to, and as cognizant of, a code of ethics. What does that get you? Good fodder for screenwriters and filmmakers of feature films and documentaries at home and abroad. We'll dive into this history and have some lively assignments and discussions. Permission of the department required.
ENGCW 389W     : (Complete Topic - Inside/Outside: Writing and Reading Archival Poetics & Eco-Poetics) (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Class description and application form are available on the Creative Writing Program website: https://creativewriting.emory.edu/academics/applications.html Please email nora.lewis@emory.edu if you have any questions. Inside/Outside: Writing and Reading Archival Poetics & Eco-Poetics Pre-requisite: NONE In this course we will go inside, into artifacts and archives, to write poetry that arises from what other humans create and leave behind. We will also go out into nature to write poetry that comes out of the natural world. We will consider grass and rain as works of art worthy of poetic response. We will consider human "stuff" as materiality worthy of poetic examination. We will experiment with poetic forms, as they may be relevant or inspirational. Permission of the department required.
FREN 101       : FREN 101-1 Elementary French I (Prof. Sandra Descourtis / Mondays and Wednesdays 10:00-11:15AM; Fridays online synchronous 10:00-10:50AM) ***NOTE: This course has "tiered enrollment" (certain number of seats available for each class). The class will open to all at the beginning of the drop/add period.*** Content: This beginning-level course introduces students to reading, writing, speaking, and understanding the French language via exploration of various aspects of the French-speaking world. The course is conducted entirely in French. Instruction proceeds from guided to more creative and independent work with emphasis on speaking, writing, communication, and active participation. Students will complete at-home practice with the required online textbook and platform: Atelier-MindTap. FREN 101 is open to beginners and students with up to one year of high school French. Please note: Students with prior experience in French must provide language placement results to the instructor. Wait lists will open for the course during the add/drop period at the beginning of the semester.
PSYC 326       : PSYC 111 or PSYC_OX 111 or equivalent transfer credit as prerequisite. Prior completion of PSYC 110, or PSYC 111, OR AP/IB credit in psychology. Juniors and seniors only. Others, permission of the instructor is required prior to enrollment.
NBB 426        : PSYC 110 or PSYC_OX 110 or BIOL 142 or BIOL_OX 142 or equivalent transfer credit as prerequisite.
MATH 250       : This course requires MATH 111 as prerequisite AND MATH 112 or MATH_OX112 or MATH 112Z or MATH_OX112Z or equivalent transfer credit.
MATH 270       : MATH 112 or MATH 112S or MATH 112Z or equivalent transfer credit as prerequisite.
MATH 276       : MATH 275 or equivalent transfer credit as prerequisite. Permission of the department required.
BIOL 142       : This course requires BIOL 141 and BIOL 141L or BIOL 151or BIOL_OX141 or equivalent transfer credit as a prerequisite. Students must also register for a BIOL 142L section. This course expands on the fundamentals learned in Biology 141. The topics covered in class will address major issues in research and medicine, emphasizing critical thinking involved in modern biological discovery. Prerequisites: Biology 141 and Biology 141L; Corequisite: Biology 142L.
BIOL 223       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. This course will introduce you to the broad field of Developmental Biology. The fertilized egg, a single cell, gives rise to many cells that form complex multicellular organisms with many different cell types, tissues, and organs. The overall goal of developmental biology is to elucidate the cellular and molecular processes that control this amazing achievement. The study of development spans molecular biology, cell biology, genetics, embryology, and importantly, evolution. These perspectives will be used to explore general principals and fundamental mechanisms that are shared between many diverse organisms, focusing on invertebrate and vertebrate animals. This includes consideration of human development with examples of medically relevant disorders and social and ethical questions related to the field. This course fulfills the Column A requirement (or elective credit) for the Biology major. Prerequisites: Biology 142 + 142L.
