HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required
PHYS 437       : (PHYS 212 or PHYS_OX 212) and (PHYS 220 or PHYS_OX 220) and PHYS 421, or equivalent transfer credit
THEA 321       : THEA 223 or THEA 224 or equivalent transfer credit as prerequisite. New Prerequisite: THEA 223 & THEA 224 or by Instructor Permission
PSYC 110       : 
ENGCW 190      : (Freshmen Seminar - Limited to First Year Students Only) (Complete Topic: Poetry & the Practice of Attention) In this first-year seminar, we will focus on what writing and reading poetry can teach us about attention. Absolutely no use of AI is permitted for any element of the course
PSYC 111       : Students completing PSYC_OX 100 or equivalent cannot enroll in PSYC 111. OPUS waitlist available at the beginning of add/drop/swap
THEA 363       : (Same as SPAN 330 1) The objective of this course is the development of linguistic and cultural understanding in the context of theatrical performance. Prerequisite: SPAN 212 Interested students must contact Prof
ANT 495BW      : Permission of the department required
NBB 301        : ((BIOL 142 and BIOL 142L) or BIOL_OX 142) and (CHEM 142 or CHEM_OX 142 or CHEM 202 or CHEM_OX 202 or CHEM 202Z) or equivalent transfer credit as prerequisite. (Same as BIOL 360 1)
DATASCI 499R   : Research Fellowships are by application and departmental permission. Students are responsible for securing their own research supervisor/lab position and credit enrollment is by application only. html Permission of the department required
ENGCW 271W     : (Permission Required Prior to Enrollment) Application required. If accepted, you YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Permission of the department required
NBB 301L       : ((BIOL 142 and BIOl 142L) or BIOL_OX142) and (BIOL 360 or NBB 301) or equivalent transfer credit as a prerequisite. (Same as BIOL 360L 1) (Topic: Neural Data Simulation & Analysis Lab). Students who were on the BIOL 360L/NBB 301 wait list in Fall 2025 AND Spring 2026 graduating senior Biology majors who need to fulfill their upper-level lab requirement have priority for this class. edu for permission. (This course does NOT COUNT as elective credit for the NBB major; the catalog description is incorrect. ) Prerequisites: Biology 142/142L and Chemistry 202; pre- or co-requisite: Biology 360/NBB 301). Permission of the department required
THEA 375R      : (Same as ENGCW 375R 1) (Permission Required Prior to Enrollment) (Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Permission of the department required
ANT 498        : Permission of the department required
ENGCW 272W     : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. PLEASE NOTE: Students will need to purchase Blue Books and writing instruments to use in class. Permission of the department required
ANT 499        : ANT 202 or ANTH_OX 202 or equivalent transfer credit as prerequisite. Permission of the department required
NBB 318        : Any NBB or WGS course or equivalent transfer credit
ENGCW 370RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Permission of the department required
PSYC 200W      : (PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111) and (PSYC 230 or QTM 100 or QTM_OX 100) or equivalent transfer credit
ENGCW 371RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. FORMS In this intermediate course, you will find a community of poets serious about their craft, hoping to deepen their engagement with the art of poetry. Permission of the department required
NBB 361W       : BIOL 360/NBB301 or equivalent transfer credit as prerequisite. NBB 301 is a prerequisite Wednesday lab 1-4 room 226
ENGCW 373R     : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Topics covered will include: scene work, POV, plot vs. Permission of the department required
ENGCW 374R     : (Permission Required Prior to Enrollment) Application required. Permission of the department required
ENGCW 375R     : (Same as THEA 375R 1) (Permission Required Prior to Enrollment) (Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. This is NOT a place to expand or revise an already-existing script. Adaptations are not allowed; riffs might be (let's talk about it). Permission of the department required
ENGCW 376RW    : (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. This class is NOT open to first-year students. Permission of the department required
ENGCW 378RW    : ENGCW 270/270W or ENGCW_OX 270 or ENGCW 271/271W or ENGCW_OX 271 or ENGCW 272/272W or FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. (Same as FILM 378RW 2) (Permission Required Prior to Enrollment) Application required. YOU MUST ATTEND THE SECOND CLASS session to remain enrolled. WRITING THE SHORT FILM. Permission of the department required
ARAB 202       : ARAB_OX 201 or equivalent transfer credit
NBB 380        : NBB 280 or equivalent transfer credit as prerequisite. Permission of the department required
ENGCW 389      : (Same as FILM 385 2) (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. This class is NOT open to first-year students. Permission of the department required
ENGCW 389W     : (Complete Topic - Inside/Outside: Writing and Reading Archival Poetics & Eco-Poetics) (Permission Required Prior to Enrollment) Application required. If accepted, YOU MUST ATTEND THE FIRST CLASS session to remain enrolled. Inside/Outside: Writing and Reading Archival Poetics & Eco-Poetics Pre-requisite: NONE In this course we will go inside, into artifacts and archives, to write poetry that arises from what other humans create and leave behind. Permission of the department required
FREN 101       : FREN 101-1 Elementary French I (Prof. Sandra Descourtis / Mondays and Wednesdays 10:00-11:15AM; Fridays online synchronous 10:00-10:50AM) ***NOTE: This course has "tiered enrollment" (certain number of seats available for each class). FREN 101 is open to beginners and students with up to one year of high school French
PSYC 326       : PSYC 111 or PSYC_OX 111 or equivalent transfer credit as prerequisite. Prior completion of PSYC 110, or PSYC 111, OR AP/IB credit in psychology. Juniors and seniors only. Others, permission of the instructor is required prior to enrollment
NBB 426        : PSYC 110 or PSYC_OX 110 or BIOL 142 or BIOL_OX 142 or equivalent transfer credit
MATH 250       : MATH 111 as prerequisite AND MATH 112 or MATH_OX112 or MATH 112Z or MATH_OX112Z or equivalent transfer credit
MATH 270       : MATH 112 or MATH 112S or MATH 112Z or equivalent transfer credit
MATH 276       : MATH 275 or equivalent transfer credit as prerequisite. Permission of the department required
BIOL 142       : BIOL 141 and BIOL 141L or BIOL 151or BIOL_OX141 or equivalent transfer credit as a prerequisite. Students must also register for a BIOL 142L section. This course expands on the fundamentals learned in Biology 141. Prerequisites: Biology 141 and Biology 141L; Corequisite: Biology 142L
BIOL 223       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Prerequisites: Biology 142 + 142L
BIOL 237L      : (BIOL 142 or BIOL_OX 142) and BIOL 142L and BIOL 236L or equivalent transfer credits as prerequisites. Students who have completed BIOL 236L in Fall 2025 may take this course. edu to request a permission number. Prerequisites: Biology 236L. THIS COURSE DOES NOT COUNT TOWARD THE BIOLOGY MAJOR. Permission of the department required
BIOL 240       : BIOL 141, and BIOL 141L or BIOL 151or BIOL_OX141 or equivalent transfer credit as a prerequisite. Prerequisites: Biology 141 (or AP credit). Students with AP credit for Biology 141 may take Biology 240 before (or at the same time) as taking Biology 142 and Biology 142L
BIOL 241       : BIOL 142 and BIOL 142L, or BIOL_OX 142 or BIOL_OX 142X, or equivalent transfer credit as prerequisite. Students must also register for a BIOL 241-1 Discussion Section. Prerequisites: Biology 142 and Biology 142L
REES 423W      : (Same as HIST 423W 1) (This course will concentrate on the broad experience of Muslims within various Russian state
GRK 102        : Content: A continuation of Elementary Greek I (GRK 101 at Emory or the equivalent is a prerequisite). JACT, Reading Greek: Text & Vocabulary (Cambridge UP) ISBN: 978-0521698511 JACT, Reading Greek: Grammar & Exercises (Cambridge UP) ISBN: 978-0521698528 Particulars: Quizzes, three or four tests, and a final examination
REL 190        : (Same as PHIL 190 3) (Freshmen Seminar - Limited to First Year Students Only) (This course satisfies the Religion major requirement: - Tradition-Buddhism
CL 487         : "A research and methods seminar intended for Junior/Senior majors in the Classics department; sophomores may enroll with instructor permission. " Permission of the department required
REL 300W       : 
ITAL 320W      : ITAL 202 or ITAL_OX 202 or equivalent transfer credit as prerequisite. ITAL 320W
REL 490W       : This senior symposium for Religion majors asks: "What's the point of a Religion major in 2026?" It looks to pull together some threads of previous coursework in religious studies as a capstone, and it also serves as a steppingstone to look beyond graduation into how the study of religion might contribute to one's life. Permission of the department required
LACS 385       : Particular emphasis will be placed on the last 30 years of US colonial rule in Puerto Rico and resistance movement
FILM 202       : FILM 101 or FILM_OX 101 or equivalent transfer credit
FILM 203       : FILM 101 or FILM 102 or FILM_OX 270 or equivalent transfer credit
ECS 100        : Please register using the permission number you received. Permission of the department required
SOC 446W       : (Same as LING 446W 1 & DATASCI 446W 1) The course deals with new tools of analysis and visualization of text data. The course does NOT require any prerequisites or prior knowledge of computational tools. Freshmen are not allowed to register. The course is based on a set of specialized Natural Language Processing tools (NLP), written in Python, designed for the analysis of small/large corpora of text. The tools come with an easy-to-use Graphical User Interface (GUI). From sentence splitter, to tokenizer, lemmatizer, parser with its Part-of-Speech tags (POSTAG), Dependency Relations (DEPREL), Named Entity Recognition (NER), semantic trees, sentence complexity and text readability, noun and verb analysis, n-grams viewer, sentiment analysis, topic modelling, extraction of SVOs (Subject-Verb-Object), and shape of stories, word embeddings (Word2Vec) you will learn the language of Natural Language Processing (NLP). The course also embeds tools of data visualization as word clouds, Excel-type charts, network graphs, and Geographic Information System (GIS) map
FILM 213       : FILM 107 or ARTVIS 107 or FILM_OX 107 or FILM_OX 107E or equivalent transfer credit as prerequisite. Address: 1568 Avenue Pl Ste 140 Atlanta, GA 30329 This class has an Equipment Fee of $125 which grants students access to equipment provided by the department
SOC 457W       : Any SOC or SOC_OX or equivalent transfer credit
ACT 477        : (ACT 200 or ACT_OX 200) and (FIN 320 or FIN_OX 320) or equivalent transfer credit as prerequisites. This section is reserved for students in the BBA program
SOC 461        : Any one SOC course as prerequisite or equivalent transfer credit. Seminar on sociological aspects of Apollo space era (1961-1972), focusing on social and cultural aspects of four new realities: "Spaceflight," "Astronaut," "Astronaut Family," and "NASA. Class Notes Only 12 humans have walked on the Moon; only 24 have orbited the Moon. No human has been beyond Earth's orbit since the last Apollo lunar mission in 1972. This seminar course takes a sociological approach to explore the Apollo era (1961-1972), focusing on four main areas: "Spaceflight" "Astronaut," "Astronaut Family," and "NASA. , relationship with the press; the unpaid work roles of wives; creating new NASA communities) and "NASA" (e. , PR efforts and image constructions; early organizational culture). Prerequisite: one Sociology course
SOC 489        : (Same as HLTH 485 2) Updated course description TBD (This course is the required capstone for all seniors with a Health Innovation Concentration graduating in Spring 2026, Summer 2026, or Fall 2026) Please visit this link and complete this quick form to receive permission to enroll: https://form
FILM 278W      : FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. Address: 1568 Avenue Pl Ste 140 Atlanta, GA 30329
HIST 423W      : (Same as REES 423W 1) (This course will concentrate on the broad experience of Muslims within various Russian state
FILM 295W      : (FILM 101 or FILM_OX 101) and (FILM 102 or FILM_OX 102) or equivalent transfer credit as prerequisites. Tanine Allison will share her ongoing research in progress about computer-generated imagery (CGI) and visual effects sequences in movies. Students will learn how to research topics like performance capture, deepfake/AI imagery, and the visual effects (VFX) industry
HIST 494R      : One HIST course 200 level or above or equivalent transfer credit as prerequisite. (Permission Required Prior to Enrollment) Permission of the department required
DANC 207R      : (Permission Required Prior to Enrollment) Audition required at the beginning of the semester. Permission of the department required
HIST 495A      : (Permission Required Prior to Enrollment) For History Honors Students Only Permission of the department required
OAM 335        : BBA and SPECSTUBUS students can enroll. This section is reserved for students in the BBA program
FILM 307       : FILM 207 or equivalent transfer credit as prerequisite. Address: 1568 Avenue Pl Ste 140 Atlanta, GA 30329 This class has an Equipment Fee of $125 which grants students access to equipment provided by the department
HIST 495BW     : (Permission Required Prior to Enrollment) For Graduating History Honors Students Only. Permission of the department required
DANC 220       : (Permission Required Prior to Enrollment) (This class is open only to declared dance majors and minors. Please email George Staib for a permission number: gstaib@emory. ) (Class meets in Cox Hall room A) Permission of the department required
SPAN 102       : SPAN 101 or SPAN_OX 101 or equivalent transfer credit as prerequisite. Spanish 102 is the second course in a beginning-level language sequence and is an integrated skills course designed to promote communication with Hispanic communities and to heighten cultural awareness. Prerequisite: successful completion of Spanish 101 at Emory, at Emory at Oxford, transfer credit for Span 101 from another institution, or permission of the Director of Placement
FILM 378RW     : ENGCW 270/270W or ENGCW_OX 270 or ENGCW 271/271W or ENGCW_OX 271 or ENGCW 272/272W or FILM 101 or FILM_OX 101 or equivalent transfer credit as prerequisite. (Same as ENGCW 378RW 3)
SPAN 111       : Spanish 111 is an accelerated beginning-level language course designed to advance students towards a higher level of proficiency in both communication in the Spanish language and cultural knowledge of Hispanic communities. Prerequisite: Official Spanish Placement into Span 111 is required to remain in the course
FILM 379RW     : FILM 378R or ENGCW 378R or FILM 378RW or ENGCW 378RW or FILM_OX 378RW or ENG_OX 378RW or equivalent transfer credit as prerequisite. (Same as ENGCW 379RW 1)
SPAN 190       : (Same as JS 190 1) (Freshmen Seminar - Limited to First Year Students Only) Description: When and why did Jews immigrate to Latin America? What kinds of challenges did they face in their new societies? What about Latinx Jews: how do they fit into the so-called "American story"? This course will introduce students to the history and cultures of Jews in Latin America as well as Latinx Jews in our own country
HLTH 324       : HLTH 220 or equivalent transfer credit as prerequisite. Students can still enroll without the HLTH 220 prerequisite. Please complete this permission request form starting 11/20/25 https://www. com/r/CSHH5261OPR and reach out to M
HLTH 350R      : HLTH 250 or HLTH_OX 250 or ANT 205 or ANTH_OX 205 or SOC 250 or equivalent transfer credit as prerequisite. (Prerequisite: HLTH 250)
POLS 370B      : (Same as CBSC 370B1, ENVS 370B 1, and SOC 370B 1) Permission of the department required
POLS 370L      : (Same as CBSC 370L 1, ENVS 370L 1, and SOC 370L 1) Permission of the department required
POLS 374W      : POLS 110 or POLS_OX 110 or equivalent transfer credit
POLS 394       : POLS 208 or POLS_OX 208 or equivalent transfer credit
FIN 486        : FIN 425 or equivalent transfer credit as prerequisite. SPECSTUBUS students are allowed to enroll. This section is reserved for students in the BBA program
ENG 300W       : (Same as LING 363W 1) Pre-1700 One semester of intensive language study will result in a proficient reading knowledge of the West Saxon dialect (standard Old English) such that we can explore the culture of the Anglo-Saxons and better understand the language we speak today
ANT 201        : Permission request form: https://form
FIN 499R       : FIN 220 or FIN 320 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program. Through lectures, case discussions, guest speakers, and a field study, students will explore existing and emerging PropTech solutions across various areas, including marketplaces, new asset classes, major functions, data analytics, and AI application
DATASCI 185    : It is suitable for undergraduate students from any faculty who want a grounded understanding of what AI can and cannot do
POLS 494       : POLS 208 or POLS_OX 208 or equivalent transfer credit as prerequisite. (Complete Topic: Power, Politics, and Law in the US Executive Branch)
POLS 494W      : POLS 208 or POLS_OX 208 or equivalent transfer credit
HLTH 397R      : HLTH 210 or equivalent transfer credit as prerequisite. Permission of the department required
DATASCI 210    : (MATH 210 or MATH_OX 210 or MATH 211 or MATH_OX 211) and (QTM 150 or QTM_OX 150) or equivalent transfer credit
DATASCI 220    : (QTM 110 or QTM_OX 110) and (QTM 210 or QTM_OX 210 or (MATH 361 and MATH 362)) and (MATH 221 or MATH_OX 221) or equivalent transfer credit
HLTH 415       : HLTH 210 & HLTH 230 & HLTH 250 or equivalent transfer credit as prerequisite. (Prerequisites: HLTH 210, HLTH 230, AND HLTH 250- If you don't have these prerequisites completed, please reach out to Ms. edu) This course is restricted to, and required for, all Human Health majors and Predictive Health minors graduating in Spring 2026, Summer 2026, or Fall 2026 Permission only - you must complete the CSHH senior requirements review for a permission number to enroll. Permission of the department required
DATASCI 302W   : (Same as ENGRD 302W) (Permission Required Prior to Enrollment) (Juniors and seniors with declared majors or minors offered by the Department of Data and Decision Sciences will receive permission codes for this course prior to the pre-registration period. Permission of the department required
HLTH 420       : HLTH 220 and (BIOL 141 or BIOL_OX 141 or CHEM 141 or CHEM_OX 141 or CHEM 151 or CHEM_OX 151) or equivalent transfer credit as prerequisite. (Prerequisite: HLTH 220)
DATASCI 329    : QTM 220 or equivalent transfer credit as prerequisite. (Same as CS 329 1 and LING 329 1)
DATASCI 340    : (QTM 150 and QTM 151) or CS 170 or equivalent transfer credit
HLTH 470       : ECON 320 and (ECON 371 or ECON 372 or ECON 372W or HLTH 370) or equivalent transfer credit as prerequisite. (Same as ECON 470 1)
HLTH 485       : This course builds upon foundational health courses offered through CSHH and the Health 123 program by allowing students to translate knowledge gained in the classroom to novel settings. Completion of the Health 300 course is preferred but not required. This is a permission only course, please email Dr. edu for permission to enroll. Special Note: HLTH 485 courses count differently within the majors/minors; they are not all equivalent. If you have any questions, please reach out to CSHH administration. Permission of the department required
DATASCI 345    : QTM 220 or equivalent transfer credit
BUS 300        : This section is reserved for students in the BBA program
BUS 300B       : This section is reserved for students in the BBA program. Permission of the department required
DATASCI 385    : Prerequisites: Some prior exposure to formal methods (logic, mathematics, or microeconomic theory) is recommended
HLTH 495BW     : HLTH 210 and HLTH 230 and HLTH 250 or equivalent transfer credit as a prerequisite. Permission of the department required
BUS 350        : MATH_OX 117 or MATH 207/MATH_OX 207 or MATH 362 or ECON 220/ECON_OX 220 or QTM 100/QTM_OX 100 or QTM 110/QTM_OX 110 or SOC 275 or QTM 999XFR or QTM_OX ELEC as prereq. SPECSTUBUS stud. Students enrolled or who took ISOM 350 can't take BUS 350. This section is reserved for students in the Emory College Liberal Arts and Sciences program
MUS 315        : MUS 122 or equivalent transfer credit as prerequisite. (Prerequisite: XXX) Pre-requisite MUS 122
BUS 365        : Students enrolled in the NDBU program not allowed to enroll in this course. This section is reserved for students in the BBA program
DATASCI 398R   : Peer mentorships are by application and departmental permission. Permission of the department required
ANT 332        : Juniors or Seniors only or permission of instructor required for enrollment
DATASCI 445    : QTM 345 or equivalent transfer credit
DATASCI 447    : QTM 347 or equivalent transfer credit
BUS 380        : Students enrolled in the NDBU program not allowed to enroll in this course. This section is reserved for students in the BBA program. Permission of the department required
DATASCI 465    : (QTM 151 or QTM_OX 151) and QTM 220 or equivalent transfer credit
PORT 102       : CONTENT: PORT 102 is a beginning-level integrated skills language course. PARTICULARS: Evaluation is based on daily and active participation, homework, quizzes, writing activities, exams, final presentation, and Portuguese program activities. PREREQUISITES: PORT 101 or equivalent (including courses taken during a Study Abroad Program)
PORT 110       : CONTENT: PORT 110 is an intensive course for students with little or no preparation in the language, but are Spanish speakers (or of another Romance Language). It covers the equivalent of two semesters (PORT 101 and PORT 102). PARTICULARS: Evaluation is based on daily and active participation, homework, quizzes, writing activities, exams, and Portuguese program activities. PREREQUISITES: No preparation in the language is required but the course is designed specifically for speakers of another Romance Language. Students who have taken the Spanish Placement exam and have been placed at the 300 level or above are encouraged to take Port 110. Students who place in SPAN 212 should contact ana. PORT 110 may be combined with PORT 201 or with SPAN 212 or a Spanish Foundational Course (300-318) to satisfy the HAL or Intercultural Communication requirement
PORT 201       : To be adequately prepared for the course, students should have successfully completed Portuguese 101 and 102 (or their equivalent). PARTICULARS: Evaluation is based on daily and active participation, homework, quizzes, compositions, exams, and Portuguese program activities. ) PREREQUISITES: Port 102, Port 110, or equivalent (including courses taken during a study abroad program)
DATASCI 496R   : Students are responsible for securing their own internships and credit enrollment is by application only. Permission of the department required
PORT 212       : Portuguese 212 aims to further develop communication skills in Portuguese and explore issues related to power and social struggle in the contemporary Portuguese speaking world. PREREQUISITES: Port 201 or equivalent (including courses taken during a study abroad program)
THEA 200R      : This course is instructor permission-only. Please reach out to the instructor directly & CC Theater Studies' Academic Department Administrator, Kathy Ly-Nguyen (klynguy@emory. edu), for enrollment permission. Permission of the department required
PORT 385       : PORT 201 or equivalent transfer credit as prerequisite. (Same as AFS 389 6) Title: Lusophone Narrative - Literature and History in the Portuguese Speaking World How do literary works present historical events? How do they shed light on moments of deep change in society? How do they uphold, unveil or even challenge long settled structures of inequality brought about by Portugal's maritime expansion begun in the 1400s? This course invites students to reflect on the relationship between literature and history by examining fictional narratives and historical documents from the Lusophone world (Portugal, Brazil, Angola, Mozambique)
MUS 340        : MUS 240 or equivalent transfer credit
DATASCI 498RW  : com/r/miFps5WjMH Capstone project participation is by application and departmental permission. Capstones are only available in the Spring semester; available projects and the number of students per section vary year to year. html Permission of the department required
THEA 250       : THEA 210 or THEA_OX 210 or equivalent transfer credit
LING 413W      : (Same as SPAN 413W 1) This course provides a descriptive and critical overview of the linguistic practices of different Spanish-speaking communities in the United States, as well as a methodology for the study of these practices. Special attention is given to ethical principles, for this reason students will need to complete the web-based Collaborative IRB Training Initiative (CITI) Program in the Protection of Human Subjects in Research. Background on general Linguistics is recommended, such as the one provided in Span/Ling 303, Span/Ling 304 or Ling 201. This course meets the sociocultural requirement of the Linguistics Major and can be used as one of the required 400-level courses for the Joint Major in Spanish & Linguistics or for the Major/Minor in Spanish. TEXTS: - Escobar, Anna María and Kim Potowski. EVALUATION: Evaluation will be based in class participation, weekly assignments, one exam, one research project and five written practices. PRE-REQUISITES: One foundational course, preferably SPAN/LING 303 or SPAN/LING 304
ISOM 353       : ISOM 351 or ISOM_OX 351 or SPESTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
CHEM 370       : CHEM 204 or CHEM_OX 204 or CHEM 205 or CHEM_OX 205 or equivalent transfer credit
NRSG 454       : NRSG 453 or equivalent transfer credit as prerequisite. Must seek permission from faculty. Student cannot self-register. Permission of the department required
LING 485       : Students seeking course enrollment permission, please fill out this brief form: https://forms. Permission of the department required
ENVS 250       : QTM 100 or QTM_OX 100 or BUS 350 or BUS_OX 350 or equivalent transfer credit
CHEM 380LW     : CHEM 300L or equivalent transfer credit
ISOM 356       : BBA & SPECSTUBUS students can enroll. This section is reserved for students in the BBA program
ENVS 310       : (ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140) and (ENVS 221 or ENVS 224 or ENVS 225 or ENVS 226 or ENVS?POLS 227 or ENVS_OX 227) or equivalent transfer credit as prerequisites. IMPORTANT NOTE: This course does NOT fulfill the Race & Ethnicity GER
CHEM 392R      : (CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150) and (CHEM 142 or CHEM_OX 142 or CHEM 202 or CHEM_OX 202) or equivalent transfer credit as prerequisite. Learning Assistants for Chem 202 Permission of the department required
ISOM 454       : ISOM 350 or BUS 350 or BUS_OX 350 or MATH_OX 117/117Q or QTM 999XFR or QTM_OX ELEC or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
ENVS 331W      : ENVS 222 or ENVS_OX 222 or ENVS 229 or ENVS_OX 229 or ENVS 230 or ENVS_OX 230 or ENVS 233 or ENVS 235 or ENVS 239 or ENVS_OX 239 or ENVS 245 or equivalent transfer credit
ARTVIS 205     : ARTVIS 105 or equivalent transfer credit
CHEM 470       : Capstone courses are intended for chemistry seniors who have taken at least two 300-level chemistry elective
ENVS 352W      : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or ENVS 225 or ENVS 227/POLS 227 or ENVS 227W/POLS 227W or equivalent transfer credit
ARTVIS 206R    : ARTVIS 106 or equivalent transfer credit
ISOM 456       : BUS 350 or BUS_OX 350 or ISOM 350 as prerequisite. STECSTUBUS student may enroll. This section is reserved for students in the BBA program
NRSG 465       : NRSG 464 or equivalent transfer credit as co-requisite (Students must enroll in NRSG 464 first) This section is for Traditional BSN semester 4 students only
ENVS 360       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or equivalent transfer credit
ARTVIS 220     : ARTVIS 120 or equivalent transfer credit
ARTVIS 306R    : ARTVIS 206R or equivalent transfer credit
MATH 112       : MATH 111 OR MATH_OX111 OR MATH 115 OR MATH 119 OR MATH_OX119 or equivalent transfer credit
ENVS 371       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as BIOL 371 1) (Same as ENVS 371 1) This 2-credit hour lecture course will explore the diverse biomes of the tropics. Prerequisites: Biology 142 and Biology 142L (for Biology 371). Larry Wilson (adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective credit for the biology major. There is also an optional field course/lab associated with this course that travels to Peru during Spring Break (see BIOL 372/ENVS 372)
ENVS 372       : ENVS 371 or BIOL 371 as a prerequisite OR permission of instructor. (Same as BIOL 372 1) This 2-credit hour field course is part of the Office of International and Summer Programs (OISP) and will be taught during Spring Break week (March 6-15, 2026) in the Amazon River lowland rainforests of southern Peru (Tambopata Research Station), famous for its huge flocks of colorful Macaws. Graduating Seniors and students who have previously completed BIOL 371/ENVS 371 have priority for this course. Cost for the trip is approximately $3200 (depending on airfare prices). Permission of instructor is required. edu; adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective and upper-level laboratory credit for the biology major. edu (and Leah Thomas in ENVS at leah. edu for ENVS 372). Selected students will be notified and will have additional requirements by OISP. See the OISP website for additional information. Permission of the department required
NRSG 488       : This section is for BSN semester 4 students only. Permission of the department required
MATH 116       : MATH 111 or MATH 111L or equivalent transfer credit
MATH 210       : MATH 111 or MATH 111L or MATH_OX 111 or equivalent transfer credit
ENVS 491       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or equivalent transfer credit as prerequisite. Permission of the department required
MATH 211       : MATH 112 or MATH 112Z or MATH_OX 112 or MATH_OX 112Z or equivalent transfer credit
MATH 212L      : MATH 112 or MATH_OX 112 or equivalent transfer credit as prerequisite. Any student who has completed Calc II is eligible to enroll in Differential Equations and, therefore, in Math 212L. Students who have previously taken Math 212 may enroll in Math 212L, but priority will be given to those concurrently enrolled in Math 212, as it is a co-requisite for the lab. To receive a permission code for registration, please contact Math Registration (math-registration@listserv. edu) Permission of the department required
ECON 201       : (ECON 101 or ECON_OX 101 or FIN 201) and (MATH 111 or MATH_OX 111 or MATH 112 or MATH_OX 112 or MATH 112Z or MATH_OX 112Z or MATH 116) or equivalent transfer credit
MATH 221       : MATH 111 or MATH_OX 111 or MATH 112 or MATH_OX 112 or MATH 112Z or equivalent transfer credit
BIOL 120L      : BIOL 120 or BIOL_OX 120 as Corequisite Students under the old GERs are required to take the Biology 120 Laboratory (BIOL 120L)
ENGRD 302W     : (Same as DATASCI 302W 1) (Permission Required Prior to Enrollment) Juniors and seniors with declared majors or minors offered by the Department of Data and Decision Sciences or the Writing (RWID) Program will receive permission codes for this course prior to the pre-registration period. DATASCI and RWID students must use the provided code to enroll during their assigned registration period. For enrollment in ENGRD 302W 1 only: Non-RWID students may contact ahackne@emory. edu for a permission code after November 15, 2025. Permission of the department required
NRSG 200       : All nursing pre-reqs courses require department permission to enroll. For Emory SON permission you must email nrsgpermissioninquiries@emory. Permission of the department required
PHIL 405W      : Two PHIL courses or equivalent transfer credit
CHEM 204       : CHEM 203 or CHEM_OX 203 or CHEM 222 or CHEM_OX 222 or CHEM 222Z or CHEM 203Z or equivalent transfer credit
PHIL 482W      : Two PHIL courses or equivalent transfer credit as prerequisite. TOPIC: Philosophy of Slavery Description: This course will study various philosophical responses to Elizabeth Anscombe¿s argument that modern philosophy prioritizes duty over the good
CHEM 204L      : CHEM 203L or CHEM_OX 203L or CHEM 203ZL or CHEM 222L or CHEM_OX 222L as prerequisite and CHEM 204 or CHEM_OX 204 as co-requisite or equivalent transfer credit
LING 214       : Before you enroll: Be advised that this class is NOT an introductory Linguistics course. If you have not taken Foundations of Linguistics (LING-201/ANT-203), or an equivalent course, you will be required to do significant extra self-instructional work at the beginning of the semester
CHEM 205       : (CHEM 203 or CHEM_OX 203 or CHEM 222 or CHEM_OX 222 or CHEM 222Z or CHEM 203Z) and (MATH 111 or MATH_OX 111 or MATH 112 or MATH 112Z or MATH_OX 112) or equivalent transfer credit
ENGRD 415      : (Permission Required Prior to Enrollment) RWID Capstone This capstone course serves as the culmination of your studies in RWID. Permission of the department required
